Format Version,1.23,Take Name,Take 2022-01-13 01.14.23 PM,Take Notes,,Capture Frame Rate,20.000000,Export Frame Rate,20.000000,Capture Start Time,2022-01-13 01.14.24.431 ,Capture Start Frame,387744,Total Frames in Take,1228,Total Exported Frames,1228,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211
,ID,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
89,4.450000,-0.006074,-0.014355,-0.002441,0.999876,-468.026978,80.297768,2321.545410
90,4.500000,-0.005336,-0.014478,-0.002028,0.999879,-467.989410,80.377663,2321.551270
91,4.550000,-0.004791,-0.014437,-0.001590,0.999883,-467.959381,80.434425,2321.582520
92,4.600000,-0.005919,-0.014108,-0.002244,0.999880,-468.020142,80.318008,2321.563965
93,4.650000,-0.006166,-0.014068,-0.002471,0.999879,-468.071259,80.207352,2321.493896
94,4.700000,-0.006192,-0.014012,-0.002526,0.999879,-468.107483,80.193352,2321.448242
95,4.750000,-0.006078,-0.014021,-0.002308,0.999881,-468.128784,80.156219,2321.456299
96,4.800000,-0.006393,-0.013753,-0.002538,0.999882,-468.167725,80.170662,2321.480713
97,4.850000,-0.006390,-0.013868,-0.002336,0.999881,-468.177673,80.122833,2321.458740
98,4.900000,-0.006521,-0.013798,-0.002557,0.999880,-468.213593,80.104942,2321.473633
99,4.950000,-0.006440,-0.013561,-0.002026,0.999885,-468.185913,80.047958,2321.505127
100,5.000000,-0.006162,-0.013406,-0.001188,0.999890,-468.105225,80.042610,2321.618896
101,5.050000,-0.006205,-0.013916,-0.002051,0.999882,-468.054932,80.217712,2321.541260
102,5.100000,-0.006398,-0.014380,-0.002685,0.999873,-468.000092,80.298012,2321.484131
103,5.150000,-0.004691,-0.014511,-0.001244,0.999883,-467.925751,80.411957,2321.590332
104,5.200000,-0.002597,-0.014711,0.000178,0.999888,-467.854370,80.686783,2321.726562
105,5.250000,-0.002282,-0.014826,0.000314,0.999887,-467.836761,80.795265,2321.753906
106,5.300000,-0.002808,-0.014777,0.000083,0.999887,-467.842987,80.754784,2321.727295
107,5.350000,-0.003819,-0.014547,-0.000737,0.999887,-467.890625,80.601303,2321.660889
108,5.400000,-0.005956,-0.014082,-0.002194,0.999881,-468.028351,80.291183,2321.551025
109,5.450000,-0.006253,-0.013926,-0.002464,0.999880,-468.122589,80.148247,2321.457031
110,5.500000,-0.006413,-0.014043,-0.002381,0.999878,-468.173431,80.170021,2321.463379
111,5.550000,-0.006355,-0.013865,-0.001866,0.999882,-468.177551,80.132996,2321.508057
112,5.600000,-0.006269,-0.013418,-0.001553,0.999889,-468.173798,80.024330,2321.557373
113,5.650000,-0.006200,-0.013852,-0.002397,0.999882,-468.174500,80.128342,2321.468018
114,5.700000,-0.006208,-0.014090,-0.002229,0.999879,-468.111755,80.187355,2321.472168
115,5.750000,-0.005954,-0.014348,-0.002267,0.999877,-468.017242,80.336647,2321.481689
116,5.800000,-0.004641,-0.014553,-0.001520,0.999882,-467.919037,80.491051,2321.551025
117,5.850000,-0.003559,-0.014712,-0.000621,0.999885,-467.851624,80.601143,2321.623291
118,5.900000,-0.002418,-0.014856,0.000275,0.999887,-467.840363,80.751183,2321.707031
119,5.950000,-0.005172,-0.014203,-0.001816,0.999884,-467.980957,80.429932,2321.644775
120,6.000000,-0.006487,-0.014076,-0.002571,0.999877,-468.067291,80.194382,2321.513184
121,6.050000,-0.006393,-0.014101,-0.002435,0.999877,-468.115082,80.141129,2321.479736
122,6.100000,-0.006289,-0.013950,-0.002035,0.999881,-468.109619,80.129555,2321.509766
123,6.150000,-0.006386,-0.014073,-0.002444,0.999878,-468.097382,80.190125,2321.484863
124,6.200000,-0.006506,-0.014102,-0.002626,0.999876,-468.077148,80.201904,2321.494629
125,6.250000,-0.005688,-0.014216,-0.001401,0.999882,-467.982849,80.270195,2321.607910
126,6.300000,-0.004132,-0.014463,-0.000947,0.999887,-467.918549,80.522087,2321.638916
127,6.350000,-0.000413,-0.014846,0.002358,0.999887,-467.787659,80.811279,2321.877930
128,6.400000,0.000261,-0.015030,0.002324,0.999884,-467.711182,81.012650,2321.936279
129,6.450000,0.001321,-0.015178,0.003667,0.999877,-467.620239,81.017136,2321.984863
130,6.500000,0.001382,-0.015234,0.002862,0.999879,-467.606384,81.081810,2322.018799
131,6.550000,0.001047,-0.015160,0.003450,0.999879,-467.595154,80.999809,2321.982666
132,6.600000,0.000636,-0.015148,0.002790,0.999881,-467.644470,81.049179,2321.936523
133,6.650000,-0.000472,-0.014933,0.001743,0.999887,-467.735809,80.999702,2321.853760
134,6.700000,-0.003236,-0.014681,-0.000295,0.999887,-467.863312,80.673576,2321.679932
135,6.750000,-0.005690,-0.014355,-0.002053,0.999879,-468.001068,80.317787,2321.536621
136,6.800000,-0.006442,-0.014154,-0.002578,0.999876,-468.080444,80.208176,2321.494629
137,6.850000,-0.006603,-0.013994,-0.002694,0.999877,-468.144562,80.151718,2321.473877
138,6.900000,-0.006591,-0.013716,-0.002151,0.999882,-468.152954,80.073303,2321.498535
139,6.950000,-0.006265,-0.013770,-0.002353,0.999883,-468.167480,80.110382,2321.485840
140,7.000000,-0.006156,-0.014065,-0.002325,0.999879,-468.140259,80.127235,2321.434570
141,7.050000,-0.005628,-0.014218,-0.001683,0.999882,-468.037384,80.221992,2321.532227
142,7.100000,-0.004065,-0.014550,-0.000793,0.999886,-467.919006,80.522667,2321.661133
143,7.150000,-0.005452,-0.014193,-0.001739,0.999883,-467.945099,80.416420,2321.661621
144,7.200000,-0.005928,-0.014239,-0.002131,0.999879,-467.993347,80.319946,2321.585449
145,7.250000,-0.006232,-0.014249,-0.002435,0.999876,-468.031372,80.282684,2321.526123
146,7.300000,-0.006294,-0.014229,-0.002459,0.999876,-468.045807,80.223534,2321.494385
147,7.350000,-0.006228,-0.014183,-0.002472,0.999877,-468.053497,80.217682,2321.493652
148,7.400000,-0.006382,-0.014047,-0.002661,0.999877,-468.107025,80.190491,2321.502441
149,7.450000,-0.006510,-0.014109,-0.002630,0.999876,-468.127228,80.171837,2321.471436
150,7.500000,-0.006362,-0.014200,-0.002438,0.999876,-468.122437,80.182426,2321.469238
151,7.550000,-0.006065,-0.014211,-0.002252,0.999878,-468.087555,80.222115,2321.491699
152,7.600000,-0.005944,-0.013981,-0.001882,0.999883,-467.997833,80.386963,2321.506104
153,7.650000,-0.005858,-0.013637,-0.001497,0.999889,-467.908234,80.491661,2321.543945
154,7.700000,-0.005503,-0.013701,-0.001675,0.999890,-467.911896,80.420601,2321.532227
155,7.750000,-0.006052,-0.013844,-0.002280,0.999883,-468.007233,80.242317,2321.545654
156,7.800000,-0.006196,-0.014136,-0.002599,0.999878,-468.070160,80.205345,2321.501709
157,7.850000,-0.006409,-0.014218,-0.002719,0.999875,-468.108551,80.199554,2321.471436
158,7.900000,-0.006436,-0.014195,-0.002504,0.999875,-468.084320,80.176201,2321.495605
